date,local_code,location_name,zone_name,population,age_group,dose_1,dose_2,total_doses_administered,percent_pop_1_plus_dose,percent_pop_fully_immunized
2021/05/18,Z4.3.A.01,EDMONTON - BONNIE DOON,EDMONTON,14526,60-74 years,12020,1210,13230,82.8,8.3
2021/05/18,Z4.3.A.01,EDMONTON - BONNIE DOON,EDMONTON,6878,75+ years,5945,5140,11085,86.4,74.7
2021/05/18,Z4.3.A.01,EDMONTON - BONNIE DOON,EDMONTON,96846,All age years,51785,8791,60576,53.5,9.1
2021/05/18,Z4.3.B.02,EDMONTON - MILL WOODS WEST,EDMONTON,3263,12-19 years,796,7,803,24.4,0.2
2021/05/18,Z4.3.B.02,EDMONTON - MILL WOODS WEST,EDMONTON,15647,20-39 years,4932,345,5277,31.5,2.2
2021/05/18,Z4.3.B.02,EDMONTON - MILL WOODS WEST,EDMONTON,12266,40-59 years,7133,436,7569,58.2,3.6
2021/05/18,Z4.3.B.02,EDMONTON - MILL WOODS WEST,EDMONTON,7650,60-74 years,6300,615,6915,82.3,8
2021/05/18,Z4.3.B.02,EDMONTON - MILL WOODS WEST,EDMONTON,3071,75+ years,2526,2196,4722,82.2,71.5
2021/05/18,Z4.3.B.02,EDMONTON - MILL WOODS WEST,EDMONTON,51075,All age years,21704,3599,25303,42.5,7
2021/05/18,Z4.3.C.03,EDMONTON - MILL WOODS SOUTH & EAST,EDMONTON,5328,12-19 years,1600,14,1614,30,0.3
2021/05/18,Z4.3.C.03,EDMONTON - MILL WOODS SOUTH & EAST,EDMONTON,30309,20-39 years,10400,828,11228,34.3,2.7
2021/05/18,Z4.3.C.03,EDMONTON - MILL WOODS SOUTH & EAST,EDMONTON,21108,40-59 years,13007,882,13889,61.6,4.2
2021/05/18,Z4.3.C.03,EDMONTON - MILL WOODS SOUTH & EAST,EDMONTON,10657,60-74 years,8839,702,9541,82.9,6.6
2021/05/18,Z4.3.C.03,EDMONTON - MILL WOODS SOUTH & EAST,EDMONTON,2699,75+ years,2246,1766,4012,83.2,65.4
2021/05/18,Z4.3.C.03,EDMONTON - MILL WOODS SOUTH & EAST,EDMONTON,87320,All age years,36142,4192,40334,41.4,4.8
2021/05/18,Z4.4.A.01,EDMONTON - DUGGAN,EDMONTON,2268,12-19 years,789,6,795,34.8,0.3
2021/05/18,Z4.4.A.01,EDMONTON - DUGGAN,EDMONTON,13169,20-39 years,5316,403,5719,40.4,3.1
2021/05/18,Z4.4.A.01,EDMONTON - DUGGAN,EDMONTON,9691,40-59 years,6155,403,6558,63.5,4.2
2021/05/18,Z4.4.A.01,EDMONTON - DUGGAN,EDMONTON,5017,60-74 years,4250,535,4785,84.7,10.7
2021/05/18,Z4.4.A.01,EDMONTON - DUGGAN,EDMONTON,3348,75+ years,2812,2592,5404,84,77.4
2021/05/18,Z4.4.A.01,EDMONTON - DUGGAN,EDMONTON,39991,All age years,19349,3939,23288,48.4,9.8
2021/05/18,Z4.4.B.02,EDMONTON - TWIN BROOKS,EDMONTON,4607,12-19 years,2629,19,2648,57.1,0.4
2021/05/18,Z4.4.B.02,EDMONTON - TWIN BROOKS,EDMONTON,19619,20-39 years,9717,814,10531,49.5,4.1
2021/05/18,Z4.4.B.02,EDMONTON - TWIN BROOKS,EDMONTON,20634,40-59 years,14973,1218,16191,72.6,5.9
2021/05/18,Z4.4.B.02,EDMONTON - TWIN BROOKS,EDMONTON,12898,60-74 years,11030,1635,12665,85.5,12.7
2021/05/18,Z4.4.B.02,EDMONTON - TWIN BROOKS,EDMONTON,5687,75+ years,5178,4787,9965,91,84.2
2021/05/18,Z4.4.B.02,EDMONTON - TWIN BROOKS,EDMONTON,76379,All age years,43659,8473,52132,57.2,11.1
2021/05/18,Z4.4.C.03,EDMONTON - RUTHERFORD,EDMONTON,5906,12-19 years,2214,25,2239,37.5,0.4
2021/05/18,Z4.4.C.03,EDMONTON - RUTHERFORD,EDMONTON,43114,20-39 years,18579,1932,20511,43.1,4.5
2021/05/18,Z4.4.C.03,EDMONTON - RUTHERFORD,EDMONTON,29525,40-59 years,18695,1581,20276,63.3,5.4
2021/05/18,Z4.4.C.03,EDMONTON - RUTHERFORD,EDMONTON,10000,60-74 years,7969,819,8788,79.7,8.2
2021/05/18,Z4.4.C.03,EDMONTON - RUTHERFORD,EDMONTON,2703,75+ years,2334,1988,4322,86.4,73.6
2021/05/18,Z4.4.C.03,EDMONTON - RUTHERFORD,EDMONTON,121276,All age years,49900,6345,56245,41.1,5.2
2021/05/18,Z4.5.A.01,STURGEON COUNTY WEST,EDMONTON,1937,12-19 years,589,10,599,30.4,0.5
2021/05/18,Z4.5.A.01,STURGEON COUNTY WEST,EDMONTON,7904,20-39 years,2657,210,2867,33.6,2.7
2021/05/18,Z4.5.A.01,STURGEON COUNTY WEST,EDMONTON,7824,40-59 years,4673,256,4929,59.7,3.3
2021/05/18,Z4.5.A.01,STURGEON COUNTY WEST,EDMONTON,4898,60-74 years,3702,326,4028,75.6,6.7
2021/05/18,Z4.5.A.01,STURGEON COUNTY WEST,EDMONTON,1364,75+ years,1204,1011,2215,88.3,74.1
2021/05/18,Z4.5.A.01,STURGEON COUNTY WEST,EDMONTON,30338,All age years,12841,1813,14654,42.3,6
2021/05/18,Z4.5.B.02,STURGEON COUNTY EAST,EDMONTON,446,12-19 years,111,0,111,24.9,0
2021/05/18,Z4.5.B.02,STURGEON COUNTY EAST,EDMONTON,1561,20-39 years,504,44,548,32.3,2.8
2021/05/18,Z4.5.B.02,STURGEON COUNTY EAST,EDMONTON,1775,40-59 years,984,53,1037,55.4,3
2021/05/18,Z4.5.B.02,STURGEON COUNTY EAST,EDMONTON,971,60-74 years,784,31,815,80.7,3.2
2021/05/18,Z4.5.B.02,STURGEON COUNTY EAST,EDMONTON,275,75+ years,239,188,427,86.8,68.3
2021/05/18,Z4.5.B.02,STURGEON COUNTY EAST,EDMONTON,6165,All age years,2624,316,2940,42.6,5.1
2021/05/18,Z4.5.B.03,FORT SASKATCHEWAN,EDMONTON,1499,12-19 years,398,1,399,26.5,0.1
2021/05/18,Z4.5.B.03,FORT SASKATCHEWAN,EDMONTON,8454,20-39 years,2939,228,3167,34.8,2.7
2021/05/18,Z4.5.B.03,FORT SASKATCHEWAN,EDMONTON,6752,40-59 years,3960,220,4180,58.7,3.3
2021/05/18,Z4.5.B.03,FORT SASKATCHEWAN,EDMONTON,3718,60-74 years,3014,228,3242,81.1,6.1
2021/05/18,Z4.5.B.03,FORT SASKATCHEWAN,EDMONTON,1380,75+ years,1280,1100,2380,92.8,79.7
2021/05/18,Z4.5.B.03,FORT SASKATCHEWAN,EDMONTON,27437,All age years,11603,1777,13380,42.3,6.5
2021/05/18,Z4.6.A.01,SHERWOOD PARK,EDMONTON,5465,12-19 years,2149,32,2181,39.3,0.6
2021/05/18,Z4.6.A.01,SHERWOOD PARK,EDMONTON,20531,20-39 years,9397,790,10187,45.8,3.8
2021/05/18,Z4.6.A.01,SHERWOOD PARK,EDMONTON,22884,40-59 years,16000,960,16960,69.9,4.2
2021/05/18,Z4.6.A.01,SHERWOOD PARK,EDMONTON,13855,60-74 years,11917,1151,13068,86,8.3
2021/05/18,Z4.6.A.01,SHERWOOD PARK,EDMONTON,6008,75+ years,5522,5147,10669,91.9,85.7
2021/05/18,Z4.6.A.01,SHERWOOD PARK,EDMONTON,82764,All age years,45064,8080,53144,54.4,9.8
2021/05/18,Z4.6.B.02,STRATHCONA COUNTY EXCLUDING SHERWOOD PARK,EDMONTON,1134,12-19 years,393,6,399,34.7,0.5
2021/05/18,Z4.6.B.02,STRATHCONA COUNTY EXCLUDING SHERWOOD PARK,EDMONTON,4048,20-39 years,1466,133,1599,36.2,3.3
2021/05/18,Z4.6.B.02,STRATHCONA COUNTY EXCLUDING SHERWOOD PARK,EDMONTON,5056,40-59 years,3114,154,3268,61.6,3
2021/05/18,Z4.6.B.02,STRATHCONA COUNTY EXCLUDING SHERWOOD PARK,EDMONTON,3684,60-74 years,2922,211,3133,79.3,5.7
2021/05/18,Z4.6.B.02,STRATHCONA COUNTY EXCLUDING SHERWOOD PARK,EDMONTON,890,75+ years,751,638,1389,84.4,71.7
2021/05/18,Z4.6.B.02,STRATHCONA COUNTY EXCLUDING SHERWOOD PARK,EDMONTON,17456,All age years,8654,1142,9796,49.6,6.5
2021/05/18,Z4.7.A.01,BEAUMONT,EDMONTON,1711,12-19 years,525,2,527,30.7,0.1
2021/05/18,Z4.7.A.01,BEAUMONT,EDMONTON,7019,20-39 years,2795,216,3011,39.8,3.1
2021/05/18,Z4.7.A.01,BEAUMONT,EDMONTON,7153,40-59 years,4452,237,4689,62.2,3.3
2021/05/18,Z4.7.A.01,BEAUMONT,EDMONTON,3649,60-74 years,2971,229,3200,81.4,6.3
2021/05/18,Z4.7.A.01,BEAUMONT,EDMONTON,845,75+ years,732,613,1345,86.6,72.6
2021/05/18,Z4.7.A.01,BEAUMONT,EDMONTON,26562,All age years,11497,1297,12794,43.3,4.9
2021/05/18,Z4.7.A.02,LEDUC & DEVON,EDMONTON,2546,12-19 years,627,4,631,24.6,0.2
2021/05/18,Z4.7.A.02,LEDUC & DEVON,EDMONTON,12378,20-39 years,4051,347,4398,32.7,2.8
2021/05/18,Z4.7.A.02,LEDUC & DEVON,EDMONTON,11145,40-59 years,6254,333,6587,56.1,3
2021/05/18,Z4.7.A.02,LEDUC & DEVON,EDMONTON,6224,60-74 years,5035,403,5438,80.9,6.5
2021/05/18,Z4.7.A.02,LEDUC & DEVON,EDMONTON,2473,75+ years,2199,1826,4025,88.9,73.8
2021/05/18,Z4.7.A.02,LEDUC & DEVON,EDMONTON,43727,All age years,18202,2913,21115,41.6,6.7
2021/05/18,Z4.7.A.03,THORSBY,EDMONTON,506,12-19 years,76,3,79,15,0.6
2021/05/18,Z4.7.A.03,THORSBY,EDMONTON,2166,20-39 years,499,29,528,23,1.3
2021/05/18,Z4.7.A.03,THORSBY,EDMONTON,2460,40-59 years,1058,57,1115,43,2.3
2021/05/18,Z4.7.A.03,THORSBY,EDMONTON,1870,60-74 years,1318,85,1403,70.5,4.5
2021/05/18,Z4.7.A.03,THORSBY,EDMONTON,616,75+ years,499,337,836,81,54.7
2021/05/18,Z4.7.A.03,THORSBY,EDMONTON,9168,All age years,3451,511,3962,37.6,5.6
2021/05/18,Z4.8.A.01,STONY PLAIN & SPRUCE GROVE,EDMONTON,3478,12-19 years,877,11,888,25.2,0.3
2021/05/18,Z4.8.A.01,STONY PLAIN & SPRUCE GROVE,EDMONTON,16423,20-39 years,5811,523,6334,35.4,3.2
2021/05/18,Z4.8.A.01,STONY PLAIN & SPRUCE GROVE,EDMONTON,14423,40-59 years,8747,519,9266,60.6,3.6
2021/05/18,Z4.8.A.01,STONY PLAIN & SPRUCE GROVE,EDMONTON,8330,60-74 years,6868,666,7534,82.4,8
2021/05/18,Z4.8.A.01,STONY PLAIN & SPRUCE GROVE,EDMONTON,3448,75+ years,3158,2788,5946,91.6,80.8
2021/05/18,Z4.8.A.01,STONY PLAIN & SPRUCE GROVE,EDMONTON,57619,All age years,25494,4507,30001,44.2,7.8
2021/05/18,Z4.8.B.02,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,EDMONTON,2494,12-19 years,475,5,480,19,0.2
2021/05/18,Z4.8.B.02,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,EDMONTON,8579,20-39 years,2271,193,2464,26.5,2.2
2021/05/18,Z4.8.B.02,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,EDMONTON,10710,40-59 years,5385,325,5710,50.3,3
2021/05/18,Z4.8.B.02,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,EDMONTON,7655,60-74 years,5338,467,5805,69.7,6.1
2021/05/18,Z4.8.B.02,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,EDMONTON,2287,75+ years,1769,1404,3173,77.4,61.4
2021/05/18,Z4.8.B.02,WESTVIEW EXCLUDING STONY PLAIN & SPRUCE GROVE,EDMONTON,38491,All age years,15249,2394,17643,39.6,6.2
2021/05/18,Z4.9.A.01,ST. ALBERT,EDMONTON,4373,12-19 years,1933,25,1958,44.2,0.6
2021/05/18,Z4.9.A.01,ST. ALBERT,EDMONTON,17052,20-39 years,8477,698,9175,49.7,4.1
2021/05/18,Z4.9.A.01,ST. ALBERT,EDMONTON,18691,40-59 years,13854,918,14772,74.1,4.9
2021/05/18,Z4.9.A.01,ST. ALBERT,EDMONTON,12567,60-74 years,10982,1247,12229,87.4,9.9
2021/05/18,Z4.9.A.01,ST. ALBERT,EDMONTON,5555,75+ years,5031,4637,9668,90.6,83.5
2021/05/18,Z4.9.A.01,ST. ALBERT,EDMONTON,70159,All age years,40369,7525,47894,57.5,10.7
2021/05/18,Z5.1.A.01,JASPER,NORTH,216,12-19 years,59,0,59,27.3,0
2021/05/18,Z5.1.A.01,JASPER,NORTH,2424,20-39 years,558,51,609,23,2.1
2021/05/18,Z5.1.A.01,JASPER,NORTH,1522,40-59 years,972,59,1031,63.9,3.9
2021/05/18,Z5.1.A.01,JASPER,NORTH,716,60-74 years,589,30,619,82.3,4.2
2021/05/18,Z5.1.A.01,JASPER,NORTH,190,75+ years,164,154,318,86.1,80.9
2021/05/18,Z5.1.A.01,JASPER,NORTH,5718,All age years,2343,294,2637,41,5.1
2021/05/18,Z5.1.A.02,HINTON,NORTH,685,12-19 years,140,1,141,20.4,0.1
2021/05/18,Z5.1.A.02,HINTON,NORTH,3631,20-39 years,890,93,983,24.5,2.6
2021/05/18,Z5.1.A.02,HINTON,NORTH,3288,40-59 years,1660,104,1764,50.5,3.2
2021/05/18,Z5.1.A.02,HINTON,NORTH,1941,60-74 years,1424,65,1489,73.4,3.3
2021/05/18,Z5.1.A.02,HINTON,NORTH,576,75+ years,491,328,819,85.2,56.9
2021/05/18,Z5.1.A.02,HINTON,NORTH,12354,All age years,4606,591,5197,37.3,4.8
2021/05/18,Z5.1.A.03,EDSON,NORTH,955,12-19 years,214,6,220,22.4,0.6
2021/05/18,Z5.1.A.03,EDSON,NORTH,4437,20-39 years,1056,100,1156,23.8,2.3
2021/05/18,Z5.1.A.03,EDSON,NORTH,4339,40-59 years,2006,123,2129,46.2,2.8
2021/05/18,Z5.1.A.03,EDSON,NORTH,2565,60-74 years,1846,176,2022,72,6.9
2021/05/18,Z5.1.A.03,EDSON,NORTH,816,75+ years,650,492,1142,79.7,60.3
2021/05/18,Z5.1.A.03,EDSON,NORTH,16076,All age years,5774,897,6671,35.9,5.6
2021/05/18,Z5.1.B.04,WHITECOURT,NORTH,965,12-19 years,188,1,189,19.5,0.1
2021/05/18,Z5.1.B.04,WHITECOURT,NORTH,4227,20-39 years,940,64,1004,22.2,1.5
2021/05/18,Z5.1.B.04,WHITECOURT,NORTH,4202,40-59 years,1947,81,2028,46.3,1.9
2021/05/18,Z5.1.B.04,WHITECOURT,NORTH,1938,60-74 years,1344,85,1429,69.3,4.4
2021/05/18,Z5.1.B.04,WHITECOURT,NORTH,463,75+ years,386,328,714,83.4,70.8
2021/05/18,Z5.1.B.04,WHITECOURT,NORTH,14757,All age years,4816,559,5375,32.6,3.8
2021/05/18,Z5.1.B.05,MAYERTHORPE,NORTH,903,12-19 years,163,10,173,18.1,1.1
2021/05/18,Z5.1.B.05,MAYERTHORPE,NORTH,3558,20-39 years,836,142,978,23.5,4
2021/05/18,Z5.1.B.05,MAYERTHORPE,NORTH,4434,40-59 years,1872,210,2082,42.2,4.7
2021/05/18,Z5.1.B.05,MAYERTHORPE,NORTH,3468,60-74 years,2493,229,2722,71.9,6.6
2021/05/18,Z5.1.B.05,MAYERTHORPE,NORTH,1252,75+ years,955,788,1743,76.3,62.9
2021/05/18,Z5.1.B.05,MAYERTHORPE,NORTH,16160,All age years,6325,1379,7704,39.1,8.5
2021/05/18,Z5.1.C.06,BARRHEAD,NORTH,656,12-19 years,109,6,115,16.6,0.9
2021/05/18,Z5.1.C.06,BARRHEAD,NORTH,2588,20-39 years,589,71,660,22.8,2.7
2021/05/18,Z5.1.C.06,BARRHEAD,NORTH,2469,40-59 years,1145,91,1236,46.4,3.7
2021/05/18,Z5.1.C.06,BARRHEAD,NORTH,2082,60-74 years,1540,135,1675,74,6.5
2021/05/18,Z5.1.C.06,BARRHEAD,NORTH,1090,75+ years,902,753,1655,82.7,69.1
2021/05/18,Z5.1.C.06,BARRHEAD,NORTH,10988,All age years,4290,1056,5346,39,9.6
2021/05/18,Z5.1.C.07,WESTLOCK,NORTH,1217,12-19 years,246,8,254,20.2,0.7
2021/05/18,Z5.1.C.07,WESTLOCK,NORTH,4392,20-39 years,1063,147,1210,24.2,3.3
2021/05/18,Z5.1.C.07,WESTLOCK,NORTH,4731,40-59 years,2282,176,2458,48.2,3.7
2021/05/18,Z5.1.C.07,WESTLOCK,NORTH,3987,60-74 years,2943,240,3183,73.8,6
2021/05/18,Z5.1.C.07,WESTLOCK,NORTH,1868,75+ years,1596,1318,2914,85.4,70.5
2021/05/18,Z5.1.C.07,WESTLOCK,NORTH,19131,All age years,8139,1889,10028,42.5,9.9
2021/05/18,Z5.2.A.01,FROG LAKE,NORTH,404,12-19 years,51,2,53,12.6,0.5
2021/05/18,Z5.2.A.01,FROG LAKE,NORTH,1267,20-39 years,246,37,283,19.4,2.9
2021/05/18,Z5.2.A.01,FROG LAKE,NORTH,1214,40-59 years,427,58,485,35.2,4.8
2021/05/18,Z5.2.A.01,FROG LAKE,NORTH,632,60-74 years,404,85,489,64,13.5
2021/05/18,Z5.2.A.01,FROG LAKE,NORTH,297,75+ years,241,191,432,81.1,64.3
2021/05/18,Z5.2.A.01,FROG LAKE,NORTH,4839,All age years,1369,373,1742,28.3,7.7
2021/05/18,Z5.2.A.04,ST. PAUL,NORTH,1059,12-19 years,276,20,296,26.1,1.9
2021/05/18,Z5.2.A.04,ST. PAUL,NORTH,4133,20-39 years,1016,145,1161,24.6,3.5
2021/05/18,Z5.2.A.04,ST. PAUL,NORTH,3501,40-59 years,1495,198,1693,42.7,5.7
2021/05/18,Z5.2.A.04,ST. PAUL,NORTH,2365,60-74 years,1573,366,1939,66.5,15.5
2021/05/18,Z5.2.A.04,ST. PAUL,NORTH,1026,75+ years,839,747,1586,81.8,72.8
2021/05/18,Z5.2.A.04,ST. PAUL,NORTH,15524,All age years,5205,1476,6681,33.5,9.5
2021/05/18,Z5.2.A.05,SMOKY LAKE,NORTH,217,12-19 years,71,2,73,32.7,0.9
2021/05/18,Z5.2.A.05,SMOKY LAKE,NORTH,965,20-39 years,240,27,267,24.9,2.8
2021/05/18,Z5.2.A.05,SMOKY LAKE,NORTH,1229,40-59 years,544,72,616,44.3,5.9
2021/05/18,Z5.2.A.05,SMOKY LAKE,NORTH,1112,60-74 years,781,126,907,70.3,11.3
2021/05/18,Z5.2.A.05,SMOKY LAKE,NORTH,577,75+ years,474,390,864,82.2,67.6
2021/05/18,Z5.2.A.05,SMOKY LAKE,NORTH,4764,All age years,2111,617,2728,44.3,13
2021/05/18,Z5.2.B.02,COLD LAKE,NORTH,1377,12-19 years,229,3,232,16.6,0.2
2021/05/18,Z5.2.B.02,COLD LAKE,NORTH,6341,20-39 years,1625,205,1830,25.6,3.2
2021/05/18,Z5.2.B.02,COLD LAKE,NORTH,5179,40-59 years,2556,236,2792,49.4,4.6
2021/05/18,Z5.2.B.02,COLD LAKE,NORTH,2281,60-74 years,1698,208,1906,74.4,9.1
2021/05/18,Z5.2.B.02,COLD LAKE,NORTH,698,75+ years,599,519,1118,85.8,74.4
2021/05/18,Z5.2.B.02,COLD LAKE,NORTH,20916,All age years,6715,1171,7886,32.1,5.6
2021/05/18,Z5.2.B.03,BONNYVILLE,NORTH,1139,12-19 years,256,4,260,22.5,0.4
2021/05/18,Z5.2.B.03,BONNYVILLE,NORTH,4504,20-39 years,1028,105,1133,22.8,2.3
2021/05/18,Z5.2.B.03,BONNYVILLE,NORTH,4373,40-59 years,1889,139,2028,43.2,3.2
2021/05/18,Z5.2.B.03,BONNYVILLE,NORTH,2373,60-74 years,1524,126,1650,64.2,5.3
2021/05/18,Z5.2.B.03,BONNYVILLE,NORTH,869,75+ years,674,579,1253,77.6,66.7
2021/05/18,Z5.2.B.03,BONNYVILLE,NORTH,16642,All age years,5385,953,6338,32.4,5.7
2021/05/18,Z5.2.C.06,BOYLE,NORTH,185,12-19 years,44,0,44,23.8,0
2021/05/18,Z5.2.C.06,BOYLE,NORTH,855,20-39 years,180,19,199,21.1,2.2
2021/05/18,Z5.2.C.06,BOYLE,NORTH,931,40-59 years,399,44,443,42.9,4.7
2021/05/18,Z5.2.C.06,BOYLE,NORTH,767,60-74 years,517,104,621,67.4,13.6
2021/05/18,Z5.2.C.06,BOYLE,NORTH,285,75+ years,221,186,407,77.6,65.3
2021/05/18,Z5.2.C.06,BOYLE,NORTH,3587,All age years,1362,353,1715,38,9.8
2021/05/18,Z5.2.C.07,ATHABASCA,NORTH,628,12-19 years,185,4,189,29.5,0.6
2021/05/18,Z5.2.C.07,ATHABASCA,NORTH,2402,20-39 years,680,73,753,28.3,3
2021/05/18,Z5.2.C.07,ATHABASCA,NORTH,2925,40-59 years,1484,144,1628,50.7,4.9
2021/05/18,Z5.2.C.07,ATHABASCA,NORTH,2160,60-74 years,1667,210,1877,77.2,9.7
2021/05/18,Z5.2.C.07,ATHABASCA,NORTH,880,75+ years,758,659,1417,86.1,74.9
2021/05/18,Z5.2.C.07,ATHABASCA,NORTH,10660,All age years,4788,1090,5878,44.9,10.2
2021/05/18,Z5.2.C.08,LAC LA BICHE,NORTH,709,12-19 years,214,1,215,30.2,0.1
2021/05/18,Z5.2.C.08,LAC LA BICHE,NORTH,2845,20-39 years,772,87,859,27.1,3.1
2021/05/18,Z5.2.C.08,LAC LA BICHE,NORTH,2666,40-59 years,1358,157,1515,50.9,5.9
2021/05/18,Z5.2.C.08,LAC LA BICHE,NORTH,1541,60-74 years,1100,180,1280,71.4,11.7
2021/05/18,Z5.2.C.08,LAC LA BICHE,NORTH,562,75+ years,465,370,835,82.8,65.9
2021/05/18,Z5.2.C.08,LAC LA BICHE,NORTH,10391,All age years,3912,795,4707,37.6,7.7
2021/05/18,Z5.3.A.01,GRANDE CACHE,NORTH,278,12-19 years,29,0,29,10.4,0
2021/05/18,Z5.3.A.01,GRANDE CACHE,NORTH,1222,20-39 years,223,34,257,18.3,2.8
2021/05/18,Z5.3.A.01,GRANDE CACHE,NORTH,1209,40-59 years,421,45,466,34.8,3.7
2021/05/18,Z5.3.A.01,GRANDE CACHE,NORTH,560,60-74 years,392,120,512,70,21.4
2021/05/18,Z5.3.A.01,GRANDE CACHE,NORTH,188,75+ years,147,117,264,78.2,62.2
2021/05/18,Z5.3.A.01,GRANDE CACHE,NORTH,4205,All age years,1213,316,1529,28.8,7.5
2021/05/18,Z5.3.A.02,FOX CREEK,NORTH,132,12-19 years,37,1,38,28.1,0.8
2021/05/18,Z5.3.A.02,FOX CREEK,NORTH,632,20-39 years,158,6,164,25,1
2021/05/18,Z5.3.A.02,FOX CREEK,NORTH,704,40-59 years,285,15,300,40.5,2.1
2021/05/18,Z5.3.A.02,FOX CREEK,NORTH,329,60-74 years,235,14,249,71.5,4.3
2021/05/18,Z5.3.A.02,FOX CREEK,NORTH,63,75+ years,37,28,65,58.3,44.1
2021/05/18,Z5.3.A.02,FOX CREEK,NORTH,2270,All age years,753,64,817,33.2,2.8
2021/05/18,Z5.3.A.03,VALLEYVIEW,NORTH,497,12-19 years,28,4,32,5.6,0.8
2021/05/18,Z5.3.A.03,VALLEYVIEW,NORTH,1891,20-39 years,384,131,515,20.3,6.9
2021/05/18,Z5.3.A.03,VALLEYVIEW,NORTH,1721,40-59 years,686,157,843,39.9,9.1
2021/05/18,Z5.3.A.03,VALLEYVIEW,NORTH,1210,60-74 years,778,162,940,64.3,13.4
2021/05/18,Z5.3.A.03,VALLEYVIEW,NORTH,427,75+ years,324,267,591,76,62.6
2021/05/18,Z5.3.A.03,VALLEYVIEW,NORTH,7258,All age years,2201,721,2922,30.3,9.9
2021/05/18,Z5.3.A.05,BEAVERLODGE,NORTH,816,12-19 years,87,4,91,10.7,0.5
2021/05/18,Z5.3.A.05,BEAVERLODGE,NORTH,3234,20-39 years,610,64,674,18.9,2
2021/05/18,Z5.3.A.05,BEAVERLODGE,NORTH,3023,40-59 years,1257,97,1354,41.6,3.2
2021/05/18,Z5.3.A.05,BEAVERLODGE,NORTH,1876,60-74 years,1283,115,1398,68.4,6.1
2021/05/18,Z5.3.A.05,BEAVERLODGE,NORTH,688,75+ years,563,444,1007,81.8,64.5
2021/05/18,Z5.3.A.05,BEAVERLODGE,NORTH,12253,All age years,3806,724,4530,31.1,5.9
2021/05/18,Z5.3.B.04,GRANDE PRAIRIE COUNTY,NORTH,1498,12-19 years,201,2,203,13.4,0.1
2021/05/18,Z5.3.B.04,GRANDE PRAIRIE COUNTY,NORTH,5723,20-39 years,1224,101,1325,21.4,1.8
2021/05/18,Z5.3.B.04,GRANDE PRAIRIE COUNTY,NORTH,5812,40-59 years,2523,124,2647,43.4,2.1
2021/05/18,Z5.3.B.04,GRANDE PRAIRIE COUNTY,NORTH,2835,60-74 years,1860,100,1960,65.6,3.5
2021/05/18,Z5.3.B.04,GRANDE PRAIRIE COUNTY,NORTH,737,75+ years,534,444,978,72.4,60.2
2021/05/18,Z5.3.B.04,GRANDE PRAIRIE COUNTY,NORTH,21400,All age years,6348,771,7119,29.7,3.6
2021/05/18,Z5.4.A.01,SWAN HILLS,NORTH,75,12-19 years,16,0,16,21.2,0
2021/05/18,Z5.4.A.01,SWAN HILLS,NORTH,328,20-39 years,62,2,64,18.9,0.6
2021/05/18,Z5.4.A.01,SWAN HILLS,NORTH,464,40-59 years,224,11,235,48.2,2.4
2021/05/18,Z5.4.A.01,SWAN HILLS,NORTH,211,60-74 years,165,24,189,78.4,11.4
2021/05/18,Z5.4.A.01,SWAN HILLS,NORTH,29,75+ years,27,17,44,94.1,59.2
2021/05/18,Z5.4.A.01,SWAN HILLS,NORTH,1356,All age years,494,54,548,36.4,4
2021/05/18,Z5.4.A.02,SLAVE LAKE,NORTH,783,12-19 years,193,2,195,24.7,0.3
2021/05/18,Z5.4.A.02,SLAVE LAKE,NORTH,3462,20-39 years,881,92,973,25.4,2.7
2021/05/18,Z5.4.A.02,SLAVE LAKE,NORTH,3175,40-59 years,1381,95,1476,43.5,3
2021/05/18,Z5.4.A.02,SLAVE LAKE,NORTH,1354,60-74 years,916,104,1020,67.7,7.7
2021/05/18,Z5.4.A.02,SLAVE LAKE,NORTH,376,75+ years,263,222,485,69.9,59
2021/05/18,Z5.4.A.02,SLAVE LAKE,NORTH,11804,All age years,3641,515,4156,30.8,4.4
2021/05/18,Z5.4.A.03,WABASCA,NORTH,371,12-19 years,28,11,39,7.5,3
2021/05/18,Z5.4.A.03,WABASCA,NORTH,1169,20-39 years,272,136,408,23.3,11.6
2021/05/18,Z5.4.A.03,WABASCA,NORTH,965,40-59 years,439,217,656,45.5,22.5
2021/05/18,Z5.4.A.03,WABASCA,NORTH,444,60-74 years,297,180,477,66.9,40.6
2021/05/18,Z5.4.A.03,WABASCA,NORTH,98,75+ years,73,65,138,74.1,66
2021/05/18,Z5.4.A.03,WABASCA,NORTH,4245,All age years,1110,609,1719,26.1,14.3
2021/05/18,Z5.4.A.07,HIGH PRAIRIE,NORTH,910,12-19 years,173,2,175,19,0.2
2021/05/18,Z5.4.A.07,HIGH PRAIRIE,NORTH,2932,20-39 years,593,77,670,20.2,2.6
2021/05/18,Z5.4.A.07,HIGH PRAIRIE,NORTH,2941,40-59 years,1071,192,1263,36.4,6.5
